column_0,column_1,ticker
1703116800000.0,1.2692093570444807e-6,pepe
1703203200000.0,1.3038896610028287e-6,pepe
1703289600000.0,1.5807908100184078e-6,pepe
1703376000000.0,1.4734846888766328e-6,pepe
1703462400000.0,1.3705353529749527e-6,pepe
1703548800000.0,1.413014907502209e-6,pepe
1703635200000.0,1.3364069571874759e-6,pepe
1703721600000.0,1.4418322326456089e-6,pepe
1703808000000.0,1.347055044706873e-6,pepe
1703894400000.0,1.3439337674516665e-6,pepe
1703980800000.0,1.3118676597531662e-6,pepe
1704067200000.0,1.2862940526150517e-6,pepe
1704153600000.0,1.4043371587021714e-6,pepe
1704240000000.0,1.3414366765542533e-6,pepe
1704326400000.0,1.1904413417486727e-6,pepe
1704412800000.0,1.2586833657972893e-6,pepe
1704499200000.0,1.1986945732955382e-6,pepe
1704585600000.0,1.159291009691349e-6,pepe
1704672000000.0,1.1082834860809425e-6,pepe
1704758400000.0,1.1937454636574303e-6,pepe
1704844800000.0,1.1937372975098003e-6,pepe
1704931200000.0,1.3247651138806597e-6,pepe
1705017600000.0,1.3674637275935364e-6,pepe
1705104000000.0,1.2390294599254984e-6,pepe
1705190400000.0,1.2507472815888474e-6,pepe
1705276800000.0,1.1985470446148231e-6,pepe
1705363200000.0,1.2059802602618206e-6,pepe
1705449600000.0,1.2398786980748864e-6,pepe
1705536000000.0,1.207724377858191e-6,pepe
1705622400000.0,1.1413133694426964e-6,pepe
1705708800000.0,1.1389946591546638e-6,pepe
1705795200000.0,1.1656516802973371e-6,pepe
1705881600000.0,1.1247103327961546e-6,pepe
1705968000000.0,1.0542787600853386e-6,pepe
1706054400000.0,1.0382541923536919e-6,pepe
1706140800000.0,1.0408715333227871e-6,pepe
1706227200000.0,1.0263063751850015e-6,pepe
1706313600000.0,1.0860971868080824e-6,pepe
1706400000000.0,1.0964771179179458e-6,pepe
1706486400000.0,1.0654965040537165e-6,pepe
1706572800000.0,1.0628008990648283e-6,pepe
1706659200000.0,1.0134242960539252e-6,pepe
1706745600000.0,9.136003549801924e-7,pepe
1706832000000.0,9.156450880262478e-7,pepe
1706918400000.0,9.275375097189848e-7,pepe
1707004800000.0,9.253063572448689e-7,pepe
1707091200000.0,8.889190223216235e-7,pepe
1707177600000.0,8.96482576548368e-7,pepe
1707264000000.0,9.027758365263124e-7,pepe
1707350400000.0,9.631562489827853e-7,pepe
1707436800000.0,9.57551321960436e-7,pepe
1707523200000.0,1.0161497347918126e-6,pepe
1707609600000.0,1.0145752224440825e-6,pepe
1707696000000.0,1.0031782675989595e-6,pepe
1707782400000.0,1.0762454410941623e-6,pepe
1707868800000.0,1.0839852762681415e-6,pepe
1707955200000.0,1.2412126274989992e-6,pepe
1708041600000.0,1.2429956958533761e-6,pepe
1708128000000.0,1.1662590654622526e-6,pepe
1708214400000.0,1.186687513804271e-6,pepe
1708300800000.0,1.223451859318413e-6,pepe
1708387200000.0,1.2323505674388406e-6,pepe
1708473600000.0,1.1938720286001191e-6,pepe
1708560000000.0,1.1506411319459402e-6,pepe
1708646400000.0,1.220416617757429e-6,pepe
1708732800000.0,1.200649895890344e-6,pepe
1708819200000.0,1.3093025987083095e-6,pepe
1708905600000.0,1.378535732723763e-6,pepe
1708992000000.0,1.8018564913449399e-6,pepe
1709078400000.0,2.6417139539523633e-6,pepe
1709164800000.0,3.1505618484672416e-6,pepe
1709251200000.0,2.733008155611785e-6,pepe
1709337600000.0,3.9578439124081815e-6,pepe
1709424000000.0,4.385320855202556e-6,pepe
1709510400000.0,5.881668320469671e-6,pepe
1709596800000.0,7.053389465111748e-6,pepe
1709683200000.0,6.416190536909234e-6,pepe
1709769600000.0,7.246180110277407e-6,pepe
1709856000000.0,6.8035719382379045e-6,pepe
1709942400000.0,9.113822928518582e-6,pepe
1710028800000.0,8.828815780846486e-6,pepe
1710115200000.0,8.527002789905154e-6,pepe
1710201600000.0,9.051470136066903e-6,pepe
1710288000000.0,8.269092839377746e-6,pepe
1710374400000.0,9.02487211896543e-6,pepe
1710460800000.0,0.000010025237925005643,pepe
1710547200000.0,8.951167244608473e-6,pepe
1710633600000.0,7.357086790948293e-6,pepe
1710720000000.0,7.836189049269558e-6,pepe
1710806400000.0,6.817143133005523e-6,pepe
1710892800000.0,6.564410420555914e-6,pepe
1710979200000.0,8.424168896842436e-6,pepe
1711065600000.0,7.905086533466241e-6,pepe
1711152000000.0,7.390506028111336e-6,pepe
1711238400000.0,7.3351739173730916e-6,pepe
1711324800000.0,7.811000871034288e-6,pepe
1711411200000.0,8.097949808898452e-6,pepe
1711497600000.0,8.044892426334462e-6,pepe
1711584000000.0,7.644190374870214e-6,pepe
1711670400000.0,7.976569506993074e-6,pepe
1711756800000.0,7.759496399200462e-6,pepe
1711843200000.0,8.093037463499474e-6,pepe
1711929600000.0,8.77804490375848e-6,pepe
1712016000000.0,7.95144626174999e-6,pepe
1712102400000.0,7.261433841160253e-6,pepe
1712188800000.0,6.827666923764244e-6,pepe
1712275200000.0,6.911565628311005e-6,pepe
1712361600000.0,6.598783737891847e-6,pepe
1712448000000.0,6.783356707321246e-6,pepe
1712534400000.0,7.459272050895068e-6,pepe
1712620800000.0,7.767654313853496e-6,pepe
1712707200000.0,7.0355551659952086e-6,pepe
1712793600000.0,7.119082518397878e-6,pepe
1712880000000.0,7.330037021283302e-6,pepe
1712966400000.0,5.959379319761598e-6,pepe
1713052800000.0,5.097006882246504e-6,pepe
1713139200000.0,5.466896958107632e-6,pepe
1713225600000.0,5.102947253763295e-6,pepe
1713312000000.0,5.408731445444496e-6,pepe
1713398400000.0,4.925198575743816e-6,pepe
1713484800000.0,5.084679926402022e-6,pepe
1713571200000.0,5.142944916795871e-6,pepe
1713657600000.0,5.782061505265592e-6,pepe
1713744000000.0,5.960588880097718e-6,pepe
1713830400000.0,6.887436384577657e-6,pepe
1713916800000.0,7.679754443160145e-6,pepe
1714003200000.0,7.268421913868963e-6,pepe
1714089600000.0,7.818891457626246e-6,pepe
1714176000000.0,7.351727214845928e-6,pepe
1714262400000.0,7.2205114158569815e-6,pepe
