column_0,column_1,ticker
1699228800000.0,8.147755907782096e-6,shiba-inu
1699315200000.0,8.435663868326407e-6,shiba-inu
1699401600000.0,8.215109314333713e-6,shiba-inu
1699488000000.0,8.307639227326023e-6,shiba-inu
1699574400000.0,8.229259747041752e-6,shiba-inu
1699660800000.0,8.521290137178728e-6,shiba-inu
1699747200000.0,9.070266434234204e-6,shiba-inu
1699833600000.0,8.90902752637158e-6,shiba-inu
1699920000000.0,8.59136544146267e-6,shiba-inu
1700006400000.0,8.349252189086523e-6,shiba-inu
1700092800000.0,8.804073853998133e-6,shiba-inu
1700179200000.0,8.466270697611765e-6,shiba-inu
1700265600000.0,8.784704624185586e-6,shiba-inu
1700352000000.0,8.553110337255375e-6,shiba-inu
1700438400000.0,8.676251449801318e-6,shiba-inu
1700524800000.0,8.435811729075864e-6,shiba-inu
1700611200000.0,7.772155040275238e-6,shiba-inu
1700697600000.0,8.100363192127208e-6,shiba-inu
1700784000000.0,8.111542589961685e-6,shiba-inu
1700870400000.0,8.19078172655934e-6,shiba-inu
1700956800000.0,8.4644378658677e-6,shiba-inu
1701043200000.0,8.297503987474613e-6,shiba-inu
1701129600000.0,8.20617646320397e-6,shiba-inu
1701216000000.0,8.302771156484345e-6,shiba-inu
1701302400000.0,8.199498312966483e-6,shiba-inu
1701388800000.0,8.280643177821288e-6,shiba-inu
1701475200000.0,8.365028534246704e-6,shiba-inu
1701561600000.0,8.533305462011397e-6,shiba-inu
1701648000000.0,9.031818666559648e-6,shiba-inu
1701734400000.0,9.195476760793705e-6,shiba-inu
1701820800000.0,9.47681872147715e-6,shiba-inu
1701907200000.0,9.71623816183294e-6,shiba-inu
1701993600000.0,9.78953036148828e-6,shiba-inu
1702080000000.0,0.000010216217988178511,shiba-inu
1702166400000.0,9.997179885331627e-6,shiba-inu
1702252800000.0,0.000010317684124350782,shiba-inu
1702339200000.0,9.508138204150631e-6,shiba-inu
1702425600000.0,9.577073300165567e-6,shiba-inu
1702512000000.0,9.797469330021117e-6,shiba-inu
1702598400000.0,0.00001006731932068965,shiba-inu
1702684800000.0,9.61052495846504e-6,shiba-inu
1702771200000.0,0.000011619553607808176,shiba-inu
1702857600000.0,0.000010309150535525752,shiba-inu
1702944000000.0,0.00001042281673524963,shiba-inu
1703030400000.0,0.000010124435323283194,shiba-inu
1703116800000.0,0.000010232954623771696,shiba-inu
1703203200000.0,0.000010430231618309368,shiba-inu
1703289600000.0,0.000010918165202127998,shiba-inu
1703376000000.0,0.00001108817862139194,shiba-inu
1703462400000.0,0.000010663913562259558,shiba-inu
1703548800000.0,0.000011021304516636011,shiba-inu
1703635200000.0,0.000010568427368549022,shiba-inu
1703721600000.0,0.00001090200643972235,shiba-inu
1703808000000.0,0.00001063196797412973,shiba-inu
1703894400000.0,0.000010425632023604636,shiba-inu
1703980800000.0,0.000010466189874516381,shiba-inu
1704067200000.0,0.000010331061799397537,shiba-inu
1704153600000.0,0.000010692096532714504,shiba-inu
1704240000000.0,0.000010570334111471078,shiba-inu
1704326400000.0,9.54518201236347e-6,shiba-inu
1704412800000.0,0.000010005004056653449,shiba-inu
1704499200000.0,9.818711912410402e-6,shiba-inu
1704585600000.0,9.593442996408038e-6,shiba-inu
1704672000000.0,8.97199016752165e-6,shiba-inu
1704758400000.0,9.579051254855389e-6,shiba-inu
1704844800000.0,9.623743487055425e-6,shiba-inu
1704931200000.0,9.989040400159577e-6,shiba-inu
1705017600000.0,0.000010136202457294359,shiba-inu
1705104000000.0,9.627706617099752e-6,shiba-inu
1705190400000.0,9.898908201164338e-6,shiba-inu
1705276800000.0,9.602418438408701e-6,shiba-inu
1705363200000.0,9.566666730710622e-6,shiba-inu
1705449600000.0,9.66205358533699e-6,shiba-inu
1705536000000.0,9.513483881061005e-6,shiba-inu
1705622400000.0,9.196379108735435e-6,shiba-inu
1705708800000.0,9.28461517481837e-6,shiba-inu
1705795200000.0,9.675212780552695e-6,shiba-inu
1705881600000.0,9.338554870241035e-6,shiba-inu
1705968000000.0,8.903352573939634e-6,shiba-inu
1706054400000.0,8.824011607485236e-6,shiba-inu
1706140800000.0,8.901152473212658e-6,shiba-inu
1706227200000.0,8.858066511207873e-6,shiba-inu
1706313600000.0,9.02954827794972e-6,shiba-inu
1706400000000.0,9.131168411003179e-6,shiba-inu
1706486400000.0,9.005586541280566e-6,shiba-inu
1706572800000.0,9.19967470020024e-6,shiba-inu
1706659200000.0,9.050270158046182e-6,shiba-inu
1706745600000.0,8.938983663384573e-6,shiba-inu
