descr,bitcoin-cash,dogecoin,z,x_dif,y_dif,trade_pnl,date,cumulative_pnl
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-19,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-20,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-21,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-22,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-23,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-24,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-25,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-26,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-27,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-28,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-29,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-30,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-01,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-02,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-03,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-04,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-05,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-06,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-07,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-08,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-09,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-10,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-11,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-12,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-13,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-14,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-15,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-16,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-17,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-18,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-19,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-20,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-21,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-22,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-23,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-24,0.16318706919874404
